t,P
0,0
120,0
240,0
360,0
480,0
600,0
720,0
840,89241.66667
960,355167.0833
1080,533821.6667
1200,536124.1667
1320,537360.8333
1440,539775
1560,542584.5833
1680,544547.9167
1800,545449.5833
1920,538314.5833
2040,540000
2160,541237.0833
2280,541629.1667
2400,541348.75
2520,539775
2640,525170
2760,525507.5
2880,525731.6667
3000,526350.4167
3120,526519.1667
3240,527305
3360,527193.75
3480,526856.25
3600,523990.8333
3720,526519.1667
3840,528653.3333
3960,526350.4167
4080,526631.25
4200,526631.25
4320,527472.5
4440,527024.5833
4560,527979.5833
4680,526688.75
4800,526745
4920,526856.6667
5040,526967.5
5160,526070
5280,524157.5
5400,526405.4167
5520,526631.25
5640,525732.5
5760,528258.3333
5880,529212.9167
6000,516403.75
6120,520449.1667
6240,473817.9167
6360,474549.5833
6480,475000
6600,474886.6667
6720,474155.8333
6840,474155.8333
6960,476571.6667
7080,528990.8333
7200,529775.4167
7320,526967.5
7440,529325.8333
7560,528540.4167
7680,529944.1667
7800,529494.1667
7920,530785.4167
8040,528820.4167
8160,529494.5833
8280,528932.5
8400,528765
8520,528820
8640,528652.9167
8760,528933.75
8880,529383.3333
9000,530280.8333
9120,530561.6667
9240,530224.1667
9360,529999.5833
9480,531066.6667
9600,531685.8333
9720,530785.8333
9840,530056.25
9960,529831.6667
10080,530336.6667
10200,549494.5833
10320,636516.6667
10440,637979.5833
10560,536181.25
10680,415957.5
10800,416124.1667
10920,417190.8333
11040,417190.8333
11160,418258.3333
11280,419268.75
11400,417977.0833
11520,419493.75
11640,417191.6667
11760,418650.8333
11880,417472.0833
12000,417471.25
12120,418875.8333
12240,417639.5833
12360,417022.5
12480,417247.0833
12600,358875.8333
12720,209100.4167
12840,153763.3333
12960,5001.25
13080,6012.5
13200,0
